first line,
12-03_21:36:45
12-03_22:33:53
12-11_16:50:53
12-11_19:44:13
12-11_21:00:29
12-12_13:48:58
12-12_16:06:09
12-16_18:03:45
12-16_18:14:04
12-16_18:17:18
12-16_18:37:36
12-16_18:42:27

07-30_20:42:56
10-13_15:40:44
10-13_15:40:51
10-13_18:13:22
10-13_18:13:14
10-13_18:41:30
10-13_19:23:53
11-12_20:09:39

08-08_11:06:13
09-04_14:43:34
12-02_15:28:23

12-17_16:50:03
12-17_17:40:19
12-17_18:05:11
12-18_12:07:58
12-18_12:49:44
12-18_15:19:55
12-22_20:06:12
12-22_23:56:15
12-22_23:56:15
12-22_23:56:15
12-22_23:56:15
12-22_23:56:28
12-22_23:56:45
12-22_23:56:45
12-22_23:56:45
12-22_23:56:45
12-22_23:56:45
12-22_23:58:48
12-22_23:58:48
12-22_23:58:48
12-22_23:58:48
12-23_00:10:39
12-23_00:25:22
12-23_00:25:22
12-23_00:25:22
12-23_00:25:22
12-23_00:25:22
12-23_02:12:56
12-23_02:13:19
12-23_02:12:56
12-23_02:13:19
12-23_02:12:56
12-23_02:13:19
12-23_02:12:56
12-23_02:13:19
12-23_02:28:34
12-23_02:28:42
12-23_02:46:40
12-23_02:47:18
12-23_02:46:40
12-23_02:47:18
12-23_02:46:40
12-23_02:47:18
12-23_02:46:40
12-23_02:47:18
12-23_02:46:40
12-23_02:47:18
01-02_20:25:13
01-02_20:25:13
01-02_20:25:13
01-02_20:25:13
01-02_20:25:13
01-02_21:48:15
01-02_21:48:15
01-02_21:48:15
01-02_21:48:15
01-02_21:48:15
01-02_21:48:15
01-02_21:48:15
01-02_21:48:15
01-02_21:48:15
01-02_21:48:15
01-04_21:34:07
01-04_21:34:07
01-04_21:34:07
01-04_21:34:07
01-04_21:34:07
01-04_21:34:07
01-04_21:34:07
01-04_21:34:07
01-04_21:34:07
01-04_21:34:07
01-04_21:34:45
01-04_21:49:48
01-04_21:49:48
01-04_21:49:48
01-04_21:49:48
01-04_21:49:48
01-04_21:49:48
01-04_21:49:48
01-04_21:49:48
01-04_21:49:48
01-04_21:49:48
01-07_23:39:00
01-08_01:04:37
01-08_01:04:37
01-08_01:04:37
01-08_01:04:37
01-08_01:04:37
01-09_22:46:13
01-09_22:46:13
01-09_22:46:13
01-09_22:46:13
01-09_23:17:19
01-09_23:17:19
01-09_23:17:19
01-09_23:17:19
01-09_23:27:05
01-09_23:27:05
01-09_23:27:05
01-09_23:27:05
01-09_23:31:41
01-09_23:31:41
01-09_23:31:41
01-09_23:31:41
01-09_23:47:19
01-09_23:47:19
01-09_23:47:19
01-09_23:47:19
01-12_16:07:56
01-12_19:31:23
01-12_19:31:23
01-12_19:31:23
01-12_19:31:23
01-12_19:31:23
01-12_21:28:51
01-12_21:28:51
01-12_21:28:51
01-12_21:28:51
01-12_21:37:58
01-12_21:38:57
01-12_21:37:58
01-12_21:37:58
01-12_21:37:58
01-12_21:38:57
01-12_21:38:57
01-12_21:38:57
01-30_22:42:21
01-30_23:34:57
01-31_00:20:45
02-05_12:26:58
02-05_18:02:56
02-05_18:02:56
02-05_18:02:56
02-05_18:02:56
02-05_18:02:56
02-06_15:30:40
02-06_15:30:40
02-06_15:30:40
02-06_15:30:40
02-06_15:30:40
02-06_15:59:06
02-06_16:10:20
02-06_21:36:19
02-06_21:45:03
